P_NAME,P_STATUS,P_YEAR,P_UPDATED,P_PERIOD,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ANGULAR_DISTANCE,P_DETECTION,S_RA,S_DEC,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_FLUX,P_TYPE,S_TYPE_TEMP,S_DEC_T,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,S_CONSTELLATION,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,KM_Clusters
1365.0,3.0,2016.0,66.0,16.571104,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,285.12203,44.110603,672.0,0.88,-0.05,0.04,0.84,-0.05,0.07,175.0,5388.0,4.54,0.0,35.87138,4.0,3.0,1263.0,0.44508366,0.0,0.0,1.0,51.0,49.0,2.38773,6.2925768,0
1375.0,3.0,2013.0,0.0,16.1457,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,281.48275,47.208031,108.13,0.81,-0.09,0.04,0.76,-0.07,0.07,175.0,4909.0,4.58,0.0,22.137895,4.0,4.0,1730.0,0.43004391,0.0,0.0,1.0,51.0,49.0,2.21958,8.8991841,0
1376.0,3.0,2014.0,82.0,27.4536,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,281.48275,47.208031,108.13,0.81,-0.09,0.04,0.76,-0.07,0.07,175.0,4909.0,4.58,0.0,10.908032,4.0,4.0,1730.0,0.43004391,0.0,0.0,1.0,51.0,49.0,0.88559,5.1996661,0
1377.0,3.0,2016.0,66.0,96.91515,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,292.67255,46.377422,446.0,0.87,-0.03,0.03,0.8,-0.02,0.02,175.0,5227.0,4.57,0.0,2.7558637,4.0,4.0,1585.0,0.42336572,0.0,0.0,1.0,30.0,75.0,2.27563,5.7992597,0
1379.0,3.0,2016.0,66.0,10.994699,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,289.35201,46.973728,455.0,0.71,-0.04,0.03,0.68,-0.03,0.02,175.0,4445.0,4.64,0.0,21.711562,4.0,4.0,1696.0,0.39563562,0.0,0.0,1.0,30.0,75.0,2.36531,6.1925912,0
1382.0,3.0,2016.0,66.0,37.322949,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,284.5102,43.961666,716.0,1.09,-0.07,0.08,1.13,-0.12,0.23,175.0,6089.0,4.37,0.0,31.095056,4.0,2.0,1236.0,0.44943995,0.0,0.0,1.0,51.0,49.0,1.98417,4.5953145,0
1383.0,3.0,2016.0,66.0,36.515605,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,283.60526,39.99798,389.0,0.79,-0.04,0.04,0.75,-0.04,0.03,175.0,4948.0,4.59,0.0,7.6217506,4.0,4.0,686.0,0.4260101,0.0,0.0,1.0,51.0,49.0,2.20837,5.5112567,0
1389.0,3.0,2016.0,66.0,19.329524,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,293.68192,45.817559,795.0,0.8,-0.04,0.04,0.76,-0.04,0.04,175.0,4983.0,4.59,0.0,18.642553,4.0,4.0,1504.0,0.42462126,0.0,0.0,1.0,30.0,75.0,2.47741,6.6990733,0
1402.0,3.0,2016.0,66.0,201.1214,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,283.11378,48.131393,473.0,0.98,-0.04,0.04,0.96,-0.05,0.06,175.0,5694.0,4.47,0.0,1.9500842,4.0,3.0,1848.0,0.45080585,0.0,0.0,1.0,33.0,24.0,2.08506,4.999023,0
1404.0,3.0,2016.0,66.0,10.132026,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,288.66893,39.824006,659.0,0.75,-0.05,0.04,0.72,-0.05,0.03,175.0,4815.0,4.61,0.0,36.031621,4.0,4.0,668.0,0.42198904,0.0,0.0,1.0,51.0,49.0,2.18595,5.4165988,0
